"cue","response","correction"
"venado","siervo","ciervo"
"atiende","solicito","solícito"
"dedicado","solicito","solícito"
"roto","deshecho","deshecho"
"roto","desecho","deshecho"
"reparar","deshecho","deshecho"
"reparar","desecho","deshecho"
"boina","che","Che"
"comandante","che","Che"
"Cuba","che","Che"
"Fidel","che","Che"
"Guevara","che","Che"
"revolución","che","Che"
"facturas","hábitat","Abitab"
"facturas","abitat","Abitab"
"facturas","habitat","Abitab"
"oferta","liquida","líquida"
"Perú","quito","Quito"
"tarjeta","oca","OCA"
"caca","eses","heces"
"jubilación","jubilo","jubilo"
"amplia","basto","vasto"
"amplia","vasto","vasto"
"universo","basto","vasto"
"universo","vasto","vasto"
"bikini","maya","malla"
"culo","maya","malla"
"telaraña","maya","malla"
"financiero","perdidas","pérdidas"
"agujero","perdidas","pérdidas"
"operación","opera","opera"
"operativo","opera","opera"
"corteza","cortez","cortez"
"Alberto","cortez","cortez"
"y","et","et"
"yuyos","tes","tés"
"hierbas","tes","tés"
"ave","cesar","César"
"coliseo","cesar","César"
"emperador","cesar","César"
"julio","cesar","César"
"romano","cesar","César"
"descartar","descartes","descartes"
"techo","losa","losa"
"baldosas","losa","losa"
"piedra","losa","losa"
"paraguaya","paragua","paragua"
"paraguayo","paragua","paragua"
"extranjero","paragua","paragua"
"detenido","quito","quieto"
"inmóvil","quito","quieto"
"enseñanzas","vuda","Buda"
"filósofo","vuda","Buda"
"Perdón","evita","Evita"
"guerrera","evita","Evita"
"peronismo","evita","Evita"
"peronista","evita","Evita"
"sindical","evita","Evita"
"equino","raid","raid"
"jinete","raid","raid"
"caballo","raid","raid"
"carrera","raid","raid"
"amarse","amen","amen"
"amor","amen","amen"
"Peñarol","nacional","Nacional"
"tribuna","nacional","Nacional"
"clásico","nacional","Nacional"
"bolso","nacional","Nacional"
"escapes","fugas","fugas"
"escape","fugas","fugas"
"cárcel","fugas","fugas"
"yoga","mat","mat"
"cien","cia","cia"
"auxilio","sos","S.O.S."
"ayuda","sos","S.O.S."
"naufragio","sos","S.O.S."
"rescate","sos","S.O.S."
"salvación","sos","S.O.S."
"salvar","sos","S.O.S."
"socorro","sos","S.O.S."
"socorrer","sos","S.O.S."
"pedido","sos","S.O.S."
"peligro","sos","S.O.S."
"catre","moises","moisés"
"bebé","moises","moisés"
"cama","moises","moisés"
"cuna","moises","moisés"
"positivo","*animado","animado"
"positivo","VIH","HIV"
"positivo","covid","coronavirus"
"positivo","covip 2","coronavirus"
"sueño","0astilla","pastilla"
"sueño","pereZA","pereza"
"relieve","3d","3D"
"relieve","Geografía","geografía"
"relieve","empinacion","empinación"
"wifi","3g","3G"
"wifi","Red","red"
"wifi","conexcion","conexión"
"wifi","voneccion","conexión"
"volar","AVIÓN","avión"
"volar","PÁJARO","pájaro"
"volar","aviòn","avión"
"profesión","Abogado","abogado"
"profesión","Arquitecto","arquitecto"
"profesión","Médico","médico"
"profesión","dedidacion","dedidación"
"profesión","especializacion","especialización"
"profesión","intruccion","instrucción"
"verbo","Acciona","acciona"
"verbo","acciòn","acción"
"verbo","acvoon","acción"
"verbo","oraciòn","oración"
"quedarse","Acostado","acostado"
"quedarse","covid","coronavirus"
"aeropuerto","Aeroparque","aeroparque"
"aeropuerto","ezeiza","Ezeiza"
"aeropuerto","transiciòn","transición"
"patio","Aire libre","aire libre"
"patio","afuerA","afuera"
"musica","Alegría del alma","alegría del alma"
"musica","Emoción","emoción"
"musica","simbolizacion","simbolización"
"componer","Algo","algo"
"componer","Amigar","amigar"
"celular","Aló","aló"
"celular","concersacion","conversación"
"celular","naturalizacion","naturalización"
"conquista","America","América"
"serpiente","Ana tijoux","Ana Tijoux"
"gasolina","Ancap","ANCAP"
"gasolina","Auto velocidad","auto velocidad"
"gasolina","corrosion","corrosión"
"gasolina","dady Yankee","Daddy Yankee"
"frustración","Angustia","angustia"
"frustración","decepsion","decepción"
"risa","Arroyo","arroyo"
"alarma","Auto","auto"
"dignidad","Autoestima","autoestima"
"dignidad","Confianza","confianza"
"dignidad","Nestor","Néstor"
"poderosa","Autosuficiente","autosuficiente"
"poderosa","Independiente","independiente"
"poderosa","adicciòn","adicción"
"poderosa","especia´l","especial"
"poderosa","intucion","intución"
"candidato","Axel kicilof","Axel Kicillof"
"candidato","Elegido","elegido"
"candidato","Nestor","Néstor"
"candidato","Presidente","presidente"
"noche","Azul","azul"
"estación","Año","año"
"virus","Bacilo","bacilo"
"virus","Coronavirus","coronavirus"
"virus","antiseptico","antiséptico"
"virus","covid","coronavirus"
"virus","intromision","intromisión"
"ensayo","Baile","baile"
"inclinación","Bajo","bajo"
"inclinación","declinacion","declinación"
"inclinación","derivacion","derivación"
"inclinación","desviacion","desviación"
"inclinación","esviacion","desviación"
"rezar","Bautismo","bautismo"
"naturaleza","Belleza","belleza"
"naturaleza","Fuerza","fuerza"
"naturaleza","verde'","verde"
"avenida","Boulevard","boulevard"
"avenida","santa Fé","Santa Fe"
"pelear","Box","box"
"pelear","discusi'on","discusión"
"pelear","incomprencion","incomprensión"
"dirección","CALLE","calle"
"rueda","CARRO","carro"
"llamada","CArnaval","carnaval"
"expresión","COMUNICACIÓN","comunicación"
"expresión","Lenguaje","lenguaje"
"expresión","manifestaciòn","manifestación"
"social","COMUNICARSE","comunicarse"
"social","PANTALLA","pantalla"
"social","covid","coronavirus"
"social","hablaR","hablar"
"carnero","Cabra","cabra"
"identificación","Carnet","carnet"
"identificación","Yo","yo"
"identificación","deteccion","detección"
"corona","Castillo","castillo"
"diálogo","Charla","charla"
"diálogo","Conversación","conversación"
"diálogo","conversaciòn","conversación"
"saludo","Chau","chau"
"saludo","Felicitaciones","felicitaciones"
"saludo","Hola","hola"
"saludo","Paz","paz"
"saludo","Todo bien","todo bien"
"juntarse","Comunicación","comunicación"
"juntarse","covid","coronavirus"
"resultado","Conclusión","conclusión"
"caricia","Contacto","contacto"
"china","Contaminación","contaminación"
"china","Mujer","mujer"
"china","País","país"
"china","asiatica","asiática"
"china","corona virus","coronavirus"
"china","covid","coronavirus"
"china","covid19","coronavirus"
"china","sobrepoblacion","sobrepoblación"
"tos","Coronavirus","coronavirus"
"tos","covid","coronavirus"
"tos","espectoracion","espectoración"
"tos","expulsion","expulsión"
"murciélago","Coronavirus","coronavirus"
"murciélago","covid","coronavirus"
"murciélago","covid19","coronavirus"
"muertes","Covid","coronavirus"
"muertes","covid","coronavirus"
"muertes","covid19","coronavirus"
"muertes","defuncion","defunción"
"muertes","sarcofago","sarcófago"
"epidemia","Covid","coronavirus"
"epidemia","covid","coronavirus"
"epidemia","covid 19","coronavirus"
"epidemia","covid19","coronavirus"
"epidemia","dispersion","dispersión"
"epidemia","propagacion","propagación"
"remedio","Curar","curar"
"solidaridad","Dar","dar"
"dedicación","Dar","dar"
"dedicación","compenetracion","compenetración"
"gracias","De nada","de nada"
"jurado","Decision","decisión"
"jurado","Derecho","derecho"
"club","Defensor","defensor"
"club","naracion","natación"
"esperanza","Diego torres","Diego Torres"
"esperanza","sentimienti","sentimiento"
"parte","División","división"
"infección","Doctor","doctor"
"infección","Pandemia","pandemia"
"infección","putrefacccion","putrefacción"
"infección","supuracion","supuración"
"alivio","Dolores musculares","dolores musculares"
"alivio","destension","distensión"
"claro","Entendible","entendible"
"agente","Enviado","enviado"
"agente","f86","86"
"balanza","Equilibrio","equilibrio"
"balanza","justicia?","justicia"
"grupo","Equipo","equipo"
"grupo","Grande","grande"
"grupo","Multitud","multitud"
"grupo","agrupaciòn","agrupación"
"grupo","pichón rivière","Pichón Riviére"
"grupo","twiter8","Twitter"
"comprensión","Escuchá","escuchá"
"oxígeno","Esencial","esencial"
"oxígeno","airr","aire"
"oxígeno","o2","O2"
"luna","Espacio","espacio"
"luna","Orbita","órbita"
"luna","Satelite","satélite"
"termómetro","Fiebre","fiebre"
"termómetro","Temperatura","temperatura"
"termómetro","covid","coronavirus"
"coherencia","Filosofía","filosofía"
"coherencia","cohesion","cohesión"
"coherencia","logicA","lógica"
"alma","Filosofía","filosofía"
"alma","espìritu","espíritu"
"alma","pura7","pura"
"concentración","Focus","focus"
"concentración","diaposicion","disposición"
"concentración","focalizacion","focalización"
"concentración","visualizacion","visualización"
"museo","Fotografía","fotografía"
"museo","Historia","historia"
"museo","Pintura","pintura"
"bahía","Geografía","geografía"
"bahía","Navegante","navegante"
"bahía","arenA","arena"
"longitud","Geografía","geografía"
"engordar","Glotoneria","glotonería"
"engordar","obecidad","obesidad"
"agradecimiento","Gracias","gracias"
"amor","Hijos","hijos"
"amor","Paz","paz"
"héroes","Historia","historia"
"héroes","Personal de salud","personal de salud"
"héroes","idealizaciòn","idealización"
"corbata","Hombre","hombre"
"corbata","Ropa","ropa"
"corbata","Verde","verde"
"barba","Hombre","hombre"
"barba","afeitadorq","afeitadora"
"barba","papá Noel","Papá Noel"
"barba","papá noel","Papá Noel"
"bomberos","Héroes","héroes"
"bomberos","aoagar","apagar"
"absurdo","Ilógico","ilógico"
"absurdo","Increíble","increíble"
"terapia","Intermedia","intermedia"
"terapia","intrspeccion","introspección"
"terapia","sesion","sesión"
"ron","Irlanda?","Irlanda"
"ron","amigoa","amigos"
"romano","Italiano","italiano"
"viajar","Libertad","libertad"
"opción","Libertad","libertad"
"opción","elecci'on","elección"
"opción","elecciòn","elección"
"escritor","Libro","libro"
"escritor","comnicacion","comunicación"
"lágrimas","Llorar","llorar"
"tumba","MUERTO","muerto"
"tumba","nuerte","muerte"
"tumba","sarcofago","sarcófago"
"signo","Matemática","matemática"
"signo","aintoma","síntoma"
"signo","gràfico","gráfico"
"signo","sìmbolo","símbolo"
"medidas","Matemáticas","matemáticas"
"libro","Mente","mente"
"libro","libertademocion","libertademoción"
"piedra","Minas","minas"
"hambre","NIÑOS","niños"
"hambre","desnutricion","desnutrición"
"alemán","Nazi","nazi"
"dolor","Opresión","opresión"
"santa","Oración","oración"
"santa","papá Noel","Papá Noel"
"santa","papá noel","Papá Noel"
"santa","santa julia (vino)","Santa Julia"
"premio","Oscar","Óscar"
"cine","Oscar","Óscar"
"cine","audiovision","audiovisión"
"segunda","Otra","otra"
"actriz","Parlamento","parlamento"
"actriz","carrrera","carrera"
"pertenencia","Patria","patria"
"pertenencia","identificaciòn","identificación"
"territorio","Patria","patria"
"territorio","Soberanía","soberanía"
"dorada","Pez","pez"
"dorada","Vedette","vedette"
"hornear","Pizza","pizza"
"hornear","Rico","rico"
"hornear","comidaa","comida"
"ojotas","Playa","playa"
"ojotas","Verano","verano"
"felicidad","Plenitud","plenitud"
"angustia","Pánico","pánico"
"angustia","preocupaciòn","preocupación"
"cloro","Quimica","química"
"cloro","covid","coronavirus"
"cloro","decoloracion","decoloración"
"cloro","desinfeccion","desinfección"
"cloro","potabilizacion","potabilización"
"cloro","purificacion","purificación"
"academia","Racing club","Racing Club"
"academia","especializacion","especialización"
"bicicleta","Rambla","rambla"
"facilidad","Rapido","rápido"
"facilidad","irrrsponsabilidaf","irresponsabilidad"
"juez","Referí","referí"
"juez","conciliacion","conciliación"
"patria","Republica","República"
"patria","Territorio","territorio"
"patria","entusiasm0o","entusiasmo"
"tribuna","River plate","River Plate"
"tribuna","fiscalizacion","fiscalización"
"tribuna","pacion","pasión"
"receptor","Rugby","rugby"
"pasaje","San bernardo","San Bernardo"
"pasaje","covid","coronavirus"
"mozo","San telmo","San Telmo"
"escrito","Secundaria","secundaria"
"escrito","fìsica","física"
"beber","Sed","sed"
"vida","Sentimiento","sentimiento"
"vida","sensscion","sensación"
"dibujitos","Simpson","Simpsons"
"dibujitos","dibercion","diversión"
"dibujitos","incorporacion","incorporación"
"discurso","Socrates","Sócrates"
"discurso","disertacion","disertación"
"aburrimiento","Soledad","soledad"
"rechazar","Soledad","soledad"
"comprar","Super","super"
"comprar","diatraccion","distracción"
"comprar","invercion","inversión"
"polo","Sur","sur"
"polo","opiesto","opuesto"
"shock","Susana gimenez","Susana Giménez"
"shock","irrupcion","irrupción"
"demonio","Tazmania","Tasmania"
"demonio","satán,s","Satanás"
"guía","Telefónica","telefónica"
"pantalla","Television","televisión"
"entero","Total","total"
"coraje","Valentía","valentía"
"coraje","valentìa","valentía"
"valentía","Valor","valor"
"luz","Ver","ver"
"luz","iñuminacion","iluminación"
"mérito","Verde","verde"
"mérito","categorìa","categoría"
"mérito","hàbil","hábil"
"mérito","valoraciòn","valoración"
"triunfo","Victoria","victoria"
"triunfo","victoria***","victoria"
"niño","Vida","vida"
"bebé","Vida","vida"
"bebé","subcion","subción"
"higiene","abito","hábito"
"higiene","covid","coronavirus"
"higiene","desinfeccion","desinfección"
"vegetación","abubdabcia","abundancia"
"vegetación","alinentacion","alinentación"
"supermercado","abudancia","abundancia"
"supermercado","covid","coronavirus"
"tarea","aburrrimiento","aburrimiento"
"tarea","asignacion","asignación"
"tarea","obñigacion","obligación"
"balcón","accidenres","accidentes"
"límite","accidente geogradico","accidente geográfico"
"límite","marcacion","marcación"
"límite","oscilacion","oscilación"
"persecución","accion/reaccion","accion/reacción"
"persecución","perscepcion","percepción"
"teatro","acctuación","actuación"
"teatro","actuaciòn","actuación"
"teatro","representaciòn","representación"
"teatro","simulacion","simulación"
"representación","actuacióm","actuación"
"representación","sustitucion","sustitución"
"porvenir","adivinacion","adivinación"
"televisión","aduccion","adicción"
"televisión","conunicacion","comunicación"
"televisión","des culturacion","desculturación"
"fans","adulacion","adulación"
"fans","aficcion","aficción"
"desinfección","afeccion","afección"
"desinfección","antiséptico","antiséptico"
"desinfección","covid","coronavirus"
"desinfección","covid19","coronavirus"
"desinfección","desafeccion","desafección"
"desinfección","higienizacion","higienización"
"desinfección","sanitizacion","sanitización"
"medicamento","afeccion","afección"
"medicamento","balsamo","bálsamo"
"simpatía","afeccion","afección"
"impacto","afectacion","afectación"
"impacto","colicion","colición"
"curiosidad","afectaciòn","afectación"
"curiosidad","exploracion","exploración"
"curiosidad","fascinacion","fascinación"
"curiosidad","interès","interés"
"curiosidad","investigaciòn","investigación"
"sindicato","afiliacion","afiliación"
"sindicato","asociaciom","asociación"
"sindicato","corrucion","corrupción"
"sindicato","organuzacion","organización"
"soportar","aguantsr","aguantar"
"encierro","ailamiento","aislamiento"
"encierro","asinamiento","hacinamiento"
"encierro","covid","coronavirus"
"encierro","entierrro","entierro"
"pasear","aire libfe","aire libre"
"sonrisa","alegria3","alegría"
"fiesta","alegróa","alegría"
"aislado","alehafo","alejado"
"aislado","covid","coronavirus"
"margen","alejafo","alejado"
"margen","contribucion","contribución"
"margen","lìmite","límite"
"margen","lìnea","línea"
"beso","alejandra","Alejandra"
"beso","apacionado","apasionado"
"abuelo","alfredo","Alfredo"
"jefe","amigoa","amigos"
"jefe","capatàz","capataz"
"jefe","mandamàs","mandamás"
"taparse","amigoa","amigos"
"reunión","amigod","amigos"
"pueblo","amigod","amigos"
"decepción","amigod","amigos"
"decepción","decilusion","desilusión"
"decepción","fustracion","fustración"
"rendimiento","amigooo","amigo"
"rendimiento","preparaciòn","preparación"
"mate","amiho","amigo"
"mate","amiigos","amigos"
"mate","río de la Plata","Rio de la Plata"
"sorpresa","amistaf","amistad"
"aliento","an6imó","animó"
"farmacia","analgèsico","analgésico"
"farmacia","antiseptico","antiséptico"
"compromiso","anilll","anillo"
"cumpleaños","aniversarii","aniversario"
"mascota","ankmal","animal"
"mascota","respinsabilidad","responsabilidad"
"alcohol","antiséptico","antiséptico"
"alcohol","covid","coronavirus"
"alcohol","desinfeccion","desinfección"
"observación","aoreciación","apreciación"
"observación","contemplacion","contemplación"
"observación","indiscrecion","indiscreción"
"bicho","argentino juniors","Argentino Juniors"
"bicho","argentinos juniors","Argentino Juniors"
"bicho","covid","coronavirus"
"reparar","arreglsr","arreglar"
"pierna","articulacion","articulación"
"gol","arvo","arco"
"inspiración","arye","arte"
"teléfono","aryefacto","artefacto"
"teléfono","conunicacion","comunicación"
"diversión","aspersion","aspersión"
"deporte","asqjet","básquet"
"deseo","atracccion","atraccción"
"deseo","comerrrrrrr","comer"
"cable","audiovision","audiovisión"
"cable","cablevision","cablevisión"
"cable","salvasion","salvación"
"cable","televsion","televsión"
"fracaso","autodestruccion","autodestrucción"
"fracaso","desaprobacion","desaprobación"
"conservación","añoracion","añoración"
"conservación","diàlogo","diálogo"
"conservación","interacciòn","interacción"
"bajón","bajada subita5","bajada súbita"
"bajón","presiòn","presión"
"mar","balsamo","bálsamo"
"mar","profundo~","profundo"
"gel","balsamo","bálsamo"
"gel","covid","coronavirus"
"gel","covid19","coronavirus"
"gel","emulsion","emulsión"
"barra","barraBrava","barra brava"
"torre","biblico","bíblico"
"dios","biblico","bíblico"
"dios","esclamasion","exclamación"
"dios","teologia","teología"
"paraíso","biblico","bíblico"
"apertura","biemvenidA","bienvenida"
"apertura","licitacion","licitación"
"nieve","blancq5","blanca"
"beneficio","bonificacion","bonificación"
"funeral","c9mer","comer"
"funeral","nuerte","muerte"
"mentira","camcion","camción"
"mentira","difamacion","difamación"
"mentira","escusa","excusa"
"prosa","camcion","canción"
"prosa","trasmision","trasmisión"
"eliminación","cancelacion","cancelación"
"eliminación","culminacion","culminación"
"eliminación","culminaciòn","culminación"
"eliminación","erradicacion","erradicación"
"eliminación","fulimacion","fulminación"
"eliminación","supresion","supresión"
"eliminación","teeminacion","terminación"
"entrenar","cansancion","cansanción"
"fiestas","celebraciòn","celebración"
"aplauso","celebraciòn","celebración"
"aplauso","conmemoraciòn","conmemoración"
"aplauso","ovacion","ovación"
"contacto","cercanìa","cercanía"
"contacto","covid","coronavirus"
"contacto","interlococucion","interlococución"
"vía","circulaculacion","circulaculación"
"cita","citacion","citación"
"cita","oblugacion","obligación"
"caso","clìnico","clínico"
"caso","facil/dificil","fácil/difícil"
"caso","policìa","policía"
"planta","co2","CO2"
"planta","jardìn","jardín"
"planta","oxìgeno","oxígeno"
"desayuno","colacion","colación"
"balance","colclusion","colclusión"
"balance","m3dio","medio"
"balance","nivelacion","nivelación"
"balance","recapitulacion","recapitulación"
"cocinar","comidaa","comida"
"internet","cominicacion","comunicación"
"internet","globalisacion","globalización"
"examen","comparaciòn","comparación"
"examen","evaluaciòn","evaluación"
"justificación","comprobacion","comprobación"
"justificación","conclusiòn","conclusión"
"justificación","escusa","excusa"
"justificación","esplicacion","explicación"
"justificación","fundamentacion","fundamentación"
"justificación","testificacion","testificación"
"lástima","compsion","compasión"
"ritual","comsentracion","concentración"
"ritual","procesion","procesión"
"palabra","comunicasion","comunicación"
"palabra","diccion","dicción"
"palabra","herrramiena","herramienta"
"medios","comunucacion","comunicación"
"medios","conunicacion","comunicación"
"trabajo","concrecion","concreción"
"trabajo","explotaciòn","explotación"
"trabajo","plusvalìa","plusvalía"
"medalla","condecoracion","condecoración"
"circuito","conexiòn","conexión"
"aglomeración","conglomeracion","conglomeración"
"aglomeración","covid","coronavirus"
"reuniones","congregacion","congregación"
"reuniones","consentracion","concentración"
"aniversario","conmemorarcion","conmemorarción"
"acuerdo","consiliacion","conciliación"
"acuerdo","convercacion","conversación"
"preocupación","consternacion","consternación"
"preocupación","dediccion","dedicción"
"preocupación","obscecion","obsesión"
"preocupación","presiòn","presión"
"preocupación","sentimienti","sentimiento"
"restricción","constriccion","constricción"
"restricción","transgresion","transgresión"
"platos","contension","contensión"
"sostén","contension","contensión"
"daño","contusion","contusión"
"daño","remediacion","remediación"
"participación","coparticipacion","coparticipación"
"participación","intregracion","intregración"
"participación","sociabilizacion","sociabilización"
"participación","solidarizacion","solidarización"
"casualidad","correlacion","correlación"
"toro","corrridas","corridas"
"toro","obstinacion","obstinación"
"cosa","cosificacion","cosificación"
"mitología","cosmovision","cosmovisión"
"mitología","teologia","teología"
"contagioso","covid","coronavirus"
"lavandina","covid","coronavirus"
"lavandina","desinfeccion","desinfección"
"lavandina","potabilizacion","potabilización"
"ambulancia","covid","coronavirus"
"mundo","covid","coronavirus"
"vacuna","covid","coronavirus"
"vacuna","injeccion","inyección"
"vacuna","prevension","prevención"
"vacuna","sputnik","Sputnik"
"fase","covid","coronavirus"
"síntomas","covid","coronavirus"
"síntomas","covid19","coronavirus"
"salud","covid","coronavirus"
"test","covid","coronavirus"
"test","prueb","prueba"
"fiebre","covid","coronavirus"
"fiebre","manisfestacion","manifestación"
"erradicar","covid","coronavirus"
"erradicar","jesu's","Jesús"
"distancia","covid","coronavirus"
"distancia","desvinculacion","desvinculación"
"enfermera","covid","coronavirus"
"enfermera","sqnacion","sanación"
"burbuja","covid","coronavirus"
"burbuja","covid19","coronavirus"
"burbuja","sobreproteccion","sobreprotección"
"brote","covid","coronavirus"
"inmunidad","covid","coronavirus"
"normalidad","covid","coronavirus"
"protocolo","covid","coronavirus"
"protocolo","covid19","coronavirus"
"protocolo","mi3do","miedo"
"extrañar","covid","coronavirus"
"olfato","covid","coronavirus"
"negativo","covid","coronavirus"
"negativo","ecuasion","ecuación"
"negativo","opiesto","opuesto"
"máscara","covid 19","coronavirus"
"máscara","ptoteccion","protección"
"cenizas","cremacion","cremación"
"cenizas","muertr","muerte"
"cura","curaciòn","curación"
"herida","cura´","cura"
"abrazo","càlido","cálido"
"zapatos","còmodos","cómodos"
"sospecha","de covid","de coronavirus"
"universidad","de la repùblica","de la república"
"mutación","degenacion","degenación"
"abundancia","demagògica","demagógica"
"abundancia","desproporcion","desproporción"
"abundancia","econòmica","económica"
"destrucción","demolicion","demolición"
"destrucción","demoliciòn","demolición"
"destrucción","inabilitacion","inhabilitación"
"caza","depredacion","depredación"
"caza","probicion","prohibición"
"abandono","desamprension","desamprensión"
"temor","desaprobacion","desaprobación"
"desprecio","descriminacion","discriminación"
"lavado","desinfeccion","desinfección"
"lavado","jab9n","jabón"
"lavado","purificacion","purificación"
"lavar","desinfeccion","desinfección"
"descontrol","desorgamizacion","desorganización"
"terror","desproteccion","desprotección"
"capitán","destrucciòn","destrucción"
"bomba","detonacion","detonación"
"bomba","extraccion","extracción"
"prisión","devastacion","devastación"
"prisión","reabilitacion","rehabilitación"
"prisión","superpoblacion","superpoblación"
"placa","diagnòstico","diagnóstico"
"dama","discrecion","discreción"
"trastorno","disfuncion","disfunción"
"trastorno","disociacion","disociación"
"trastorno","distorsion","distorsión"
"trastorno","preocupcion","preocupación"
"confusión","dispersion","dispersión"
"confusión","infromacion","infromación"
"verano","disversion","diversión"
"amigas","diverision","diversión"
"juegos","divesion","diversión"
"reporte","divulgacion","divulgación"
"duda","dubitacion","dubitación"
"duda","vacilacion","vacilación"
"publicación","edicion","edición"
"iglesia","edificii","edificio"
"encargado","edificii","edificio"
"estética","educaciòn","educación"
"estudio","educasion","educasión"
"ánimo","emociòn","emoción"
"atracción","empatìa","empatía"
"atracción","gravitaciòn","gravitación"
"atracción","imanaciòn","imanación"
"cuerpo","encarnacion","encarnación"
"cuerpo","herrramienta de vida","herramienta de vida"
"cuerpo","mùsculos","músculos"
"presencia","espìritus","espíritus"
"ferrocarril","estcion","estación"
"asombro","estupefaccion","estupefacción"
"baño","evacuacion","evacuación"
"excusa","evasion","evasión"
"campamento","excursion","excursión"
"campamento","expedicion","expedición"
"carretera","excursion","excursión"
"convivencia","excursion","excursión"
"turismo","exploracion","exploración"
"dentista","extraccion","extracción"
"lujuria","extroversion","extroversión"
"esplendor","facinacion","fascinación"
"casamiento","felicidad?","felicidad"
"casamiento","un[on","unión"
"cadáver","fermentacion","fermentación"
"fiscal","fiscalizacion","fiscalización"
"voz","fonacion","fonación"
"voz","humsno","humano"
"enojo","frustrasion","frustración"
"pantalón","fustàn","fustán"
"pantalón","oxford","Oxford"
"trago","fàcil","fácil"
"sol","gravitaciòn","gravitación"
"camas","habitaci'on","habitación"
"tensión","hipertension","hipertensión"
"persona","humsno","humano"
"experto","idòneo","idóneo"
"experto","pràctico","práctico"
"encuesta","indagacion","indagación"
"símbolo","indicaciòn","indicación"
"símbolo","notacion","notación"
"timidez","inhibicion","inhibición"
"timidez","introversion","introversión"
"timidez","retraccion","retracción"
"tablet","iniciacion","iniciación"
"tablet","tecnologico","tecnológico"
"represión","insinuacion","insinuación"
"represión","opocicion","oposición"
"seducción","insinuacion","insinuación"
"burla","insubordinacion","insubordinación"
"justificar","jurisdicion","jurisdicción"
"ley","legalizacion","legalización"
"ley","reglamentacion","reglamentación"
"familia","mam{a","mamá"
"familia","soportacion","soportación"
"riqueza","mansiòn","mansión"
"división","matemátic<","matemática"
"división","multipliccion","multiplicación"
"división","particion","partición"
"espejo","miradA","mirada"
"espejo","ver+","ver"
"banco","monetizacion","monetización"
"cementerio","muert3","muerte"
"grave","muertr","muerte"
"recital","mùsica","música"
"despertador","oblugacion","obligación"
"armada","oracion5","oración"
"insomnio","oreocupacion","preocupación"
"sexo","orientaacion","orientaación"
"broma","ostigacion","hostigación"
"jeans","oxford","Oxford"
"mitad","particion","partición"
"desconcierto","paràlisis","parálisis"
"revisión","pbservacion","observación"
"revisión","reveeer","rever"
"alternativa","pcion","opción"
"idea","pensami3nto","pensamiento"
"fosa","perforacion","perforación"
"seguimiento","persecusion","persecusión"
"seguimiento","supervicion","supervisión"
"prevención","pesuncion","pesuncion"
"cultivo","plantaciòn","plantación"
"extremo","polarizacion","polarización"
"gloria","por fín!","por fin!"
"lluvia","precipitacion","precipitación"
"pregunta","prueb","prueba"
"despedida","pèrdida","pérdida"
"visitas","quièn","quién"
"celebración","recordacion","recordación"
"culpa","respinsabilidad","responsabilidad"
"culpa","resppnsabilidad","responsabilidad"
"adultos","resppnsabilidad","responsabilidad"
"rescate","salcacion","salvación"
"empleo","satifaccion","satifacción"
